"","Data.as.of","Start.week","End.Week","State","Sex","Age.group","COVID.19.Deaths","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths","Pneumonia..Influenza..or.COVID.19.Deaths","Footnote"
"702","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","1-4 years",0,14,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"703","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","5-14 years",0,21,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"704","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","15-24 years",NA,78,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"705","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","25-34 years",NA,181,NA,NA,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"706","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","35-44 years",NA,317,14,NA,NA,21,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"707","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","45-54 years",12,626,31,NA,NA,43,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"708","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","55-64 years",39,1585,82,13,10,118,""
"709","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","65-74 years",85,2735,165,19,17,248,""
"710","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","75-84 years",119,3627,241,41,32,351,""
"711","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","85 years and over",253,5413,319,74,20,518,""
"712","07/22/2020","02/01/2020","07/11/2020","Missouri","Female","All ages",518,14685,859,154,90,1313,""
"713","07/22/2020","02/01/2020","07/11/2020","Missouri","Unknown","All ages",0,0,0,0,0,0,""
"714","07/22/2020","02/01/2020","07/11/2020","Missouri Total","All","All Ages",1016,30488,1869,336,177,2726,""
"715","07/22/2020","02/01/2020","07/11/2020","Montana","Male","Under 1 year",0,13,0,0,0,0,""
"716","07/22/2020","02/01/2020","07/11/2020","Montana","Male","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"717","07/22/2020","02/01/2020","07/11/2020","Montana","Male","5-14 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"718","07/22/2020","02/01/2020","07/11/2020","Montana","Male","15-24 years",0,53,0,0,0,0,""
"719","07/22/2020","02/01/2020","07/11/2020","Montana","Male","25-34 years",0,63,0,0,0,0,""
"720","07/22/2020","02/01/2020","07/11/2020","Montana","Male","35-44 years",0,80,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"721","07/22/2020","02/01/2020","07/11/2020","Montana","Male","45-54 years",NA,161,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"722","07/22/2020","02/01/2020","07/11/2020","Montana","Male","55-64 years",NA,367,14,NA,NA,17,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"723","07/22/2020","02/01/2020","07/11/2020","Montana","Male","65-74 years",NA,616,30,0,NA,35,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"724","07/22/2020","02/01/2020","07/11/2020","Montana","Male","75-84 years",NA,663,39,NA,NA,48,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"725","07/22/2020","02/01/2020","07/11/2020","Montana","Male","85 years and over",NA,610,45,0,NA,52,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"726","07/22/2020","02/01/2020","07/11/2020","Montana","Male","All ages",14,2633,137,NA,17,165,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"727","07/22/2020","02/01/2020","07/11/2020","Montana","Female","Under 1 year",0,12,0,0,0,0,""
"728","07/22/2020","02/01/2020","07/11/2020","Montana","Female","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"729","07/22/2020","02/01/2020","07/11/2020","Montana","Female","5-14 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"730","07/22/2020","02/01/2020","07/11/2020","Montana","Female","15-24 years",0,14,0,0,0,0,""
"731","07/22/2020","02/01/2020","07/11/2020","Montana","Female","25-34 years",NA,44,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"732","07/22/2020","02/01/2020","07/11/2020","Montana","Female","35-44 years",0,40,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"733","07/22/2020","02/01/2020","07/11/2020","Montana","Female","45-54 years",0,70,0,0,0,0,""
"734","07/22/2020","02/01/2020","07/11/2020","Montana","Female","55-64 years",NA,214,NA,0,NA,10,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"735","07/22/2020","02/01/2020","07/11/2020","Montana","Female","65-74 years",NA,390,28,NA,NA,36,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"736","07/22/2020","02/01/2020","07/11/2020","Montana","Female","75-84 years",NA,468,26,NA,NA,31,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"737","07/22/2020","02/01/2020","07/11/2020","Montana","Female","85 years and over",NA,866,41,NA,NA,53,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"738","07/22/2020","02/01/2020","07/11/2020","Montana","Female","All ages",16,2126,103,NA,17,133,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"739","07/22/2020","02/01/2020","07/11/2020","Montana","Unknown","All ages",0,0,0,0,0,0,""
"740","07/22/2020","02/01/2020","07/11/2020","Montana Total","All","All Ages",30,4759,240,NA,34,298,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"741","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","Under 1 year",0,38,0,0,0,0,""
"742","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"743","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","5-14 years",0,11,0,0,0,0,""
"744","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","15-24 years",0,56,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"745","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","25-34 years",NA,104,NA,NA,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"746","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","35-44 years",NA,115,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"747","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","45-54 years",14,218,14,NA,NA,25,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"748","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","55-64 years",25,581,46,NA,NA,65,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"749","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","65-74 years",40,866,59,14,NA,88,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"750","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","75-84 years",39,968,73,18,NA,95,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"751","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","85 years and over",29,1026,91,11,NA,111,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"752","07/22/2020","02/01/2020","07/11/2020","Nebraska","Male","All ages",153,3984,294,59,11,399,""
"753","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","Under 1 year",0,18,0,0,0,0,""
"754","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","1-4 years",0,NA,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"755","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","5-14 years",0,NA,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"756","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","15-24 years",0,21,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"757","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","25-34 years",NA,30,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"758","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","35-44 years",NA,66,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"759","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","45-54 years",NA,147,16,NA,0,17,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"760","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","55-64 years",20,386,32,NA,NA,47,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"761","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","65-74 years",26,666,50,NA,NA,71,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"762","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","75-84 years",31,933,77,13,NA,96,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"763","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","85 years and over",46,1690,126,16,NA,164,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"764","07/22/2020","02/01/2020","07/11/2020","Nebraska","Female","All ages",133,3973,312,51,17,411,""
"765","07/22/2020","02/01/2020","07/11/2020","Nebraska","Unknown","All ages",0,0,0,0,0,0,""
"766","07/22/2020","02/01/2020","07/11/2020","Nebraska Total","All","All Ages",286,7957,606,110,28,810,""
"767","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","Under 1 year",0,29,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"768","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","1-4 years",0,NA,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"769","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","5-14 years",0,15,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"770","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","15-24 years",NA,125,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"771","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","25-34 years",NA,210,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"772","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","35-44 years",10,289,15,NA,0,20,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"773","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","45-54 years",34,518,55,26,NA,65,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"774","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","55-64 years",48,1133,109,36,NA,126,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"775","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","65-74 years",99,1709,183,73,NA,215,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"776","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","75-84 years",98,1872,179,68,NA,217,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"777","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","85 years and over",56,1292,121,46,NA,132,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"778","07/22/2020","02/01/2020","07/11/2020","Nevada","Male","All ages",348,7201,675,256,22,789,""
"779","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","Under 1 year",0,26,0,0,0,0,""
"780","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"781","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","5-14 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"782","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","15-24 years",0,42,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"783","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","25-34 years",NA,84,NA,NA,NA,10,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"784","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","35-44 years",NA,142,NA,NA,NA,11,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"785","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","45-54 years",14,302,33,NA,NA,42,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"786","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","55-64 years",28,698,66,21,NA,76,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"787","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","65-74 years",54,1218,131,43,NA,146,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"788","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","75-84 years",76,1462,155,58,NA,176,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"789","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","85 years and over",50,1658,103,34,NA,121,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"790","07/22/2020","02/01/2020","07/11/2020","Nevada","Female","All ages",229,5645,505,170,19,583,""
"791","07/22/2020","02/01/2020","07/11/2020","Nevada","Unknown","All ages",0,0,0,0,0,0,""
"792","07/22/2020","02/01/2020","07/11/2020","Nevada Total","All","All Ages",577,12846,1180,426,41,1372,""
"793","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","Under 1 year",0,15,0,0,0,0,""
"794","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"795","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","5-14 years",0,NA,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"796","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","15-24 years",NA,32,0,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"797","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","25-34 years",0,84,0,0,0,0,""
"798","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","35-44 years",NA,90,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"799","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","45-54 years",NA,194,10,NA,NA,16,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"800","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","55-64 years",14,433,23,NA,0,33,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"801","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","65-74 years",33,720,54,16,NA,74,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"802","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","75-84 years",61,801,70,24,NA,112,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"803","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","85 years and over",73,855,70,20,NA,125,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"804","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Male","All ages",192,3229,231,68,12,366,""
"805","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","Under 1 year",0,10,0,0,0,0,""
"806","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"807","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","5-14 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"808","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","15-24 years",0,14,0,0,0,0,""
"809","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","25-34 years",0,40,0,0,0,0,""
"810","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","35-44 years",0,47,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"811","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","45-54 years",NA,117,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"812","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","55-64 years",NA,280,12,NA,NA,18,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"813","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","65-74 years",24,494,42,NA,NA,65,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"814","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","75-84 years",50,740,58,NA,NA,101,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"815","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","85 years and over",112,1349,81,18,NA,181,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"816","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Female","All ages",191,3096,197,36,18,370,""
"817","07/22/2020","02/01/2020","07/11/2020","New Hampshire","Unknown","All ages",0,0,0,0,0,0,""
"818","07/22/2020","02/01/2020","07/11/2020","New Hampshire Total","All","All Ages",383,6325,428,104,30,736,""
"819","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","Under 1 year",0,80,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"820","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","1-4 years",0,20,0,0,0,0,""
"821","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","5-14 years",0,14,0,0,0,0,""
"822","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","15-24 years",11,183,NA,NA,0,13,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"823","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","25-34 years",73,585,40,35,NA,80,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"824","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","35-44 years",198,899,121,92,NA,229,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"825","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","45-54 years",545,1827,316,263,NA,606,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"826","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","55-64 years",1204,3901,786,624,NA,1373,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"827","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","65-74 years",1677,5427,1137,859,12,1966,""
"828","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","75-84 years",1891,6415,1333,981,20,2260,""
"829","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","85 years and over",1749,6757,1302,853,18,2216,""
"830","07/22/2020","02/01/2020","07/11/2020","New Jersey","Male","All ages",7348,26108,5039,3708,71,8744,""
"831","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","Under 1 year",0,66,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"832","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","1-4 years",NA,10,0,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"833","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","5-14 years",0,13,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"834","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","15-24 years",NA,76,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"835","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","25-34 years",31,225,21,15,NA,39,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"836","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","35-44 years",66,385,40,30,NA,77,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"837","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","45-54 years",183,872,124,86,NA,222,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"838","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","55-64 years",554,2166,373,276,NA,655,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"839","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","65-74 years",986,3710,662,487,NA,1164,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"840","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","75-84 years",1698,6168,1163,844,12,2028,""
"841","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","85 years and over",2940,11764,1832,1258,22,3533,""
"842","07/22/2020","02/01/2020","07/11/2020","New Jersey","Female","All ages",6462,25455,4220,2997,50,7727,""
"843","07/22/2020","02/01/2020","07/11/2020","New Jersey","Unknown","All ages",NA,NA,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"844","07/22/2020","02/01/2020","07/11/2020","New Jersey Total","All","All Ages",13811,51565,9260,6706,121,16472,""
"845","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","Under 1 year",0,16,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"846","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"847","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","5-14 years",0,NA,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"848","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","15-24 years",NA,85,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"849","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","25-34 years",13,212,17,NA,0,21,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"850","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","35-44 years",17,261,18,10,NA,27,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"851","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","45-54 years",22,386,29,12,NA,43,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"852","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","55-64 years",38,722,55,20,NA,74,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"853","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","65-74 years",61,989,75,28,NA,111,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"854","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","75-84 years",48,1142,98,20,NA,130,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"855","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","85 years and over",67,1023,86,16,NA,138,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"856","07/22/2020","02/01/2020","07/11/2020","New Mexico","Male","All ages",267,4851,381,116,16,548,""
"857","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","Under 1 year",0,14,0,0,0,0,""
"858","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","1-4 years",0,NA,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"859","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","5-14 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"860","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","15-24 years",0,29,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"861","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","25-34 years",NA,81,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"862","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","35-44 years",NA,136,11,NA,NA,15,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"863","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","45-54 years",16,232,17,NA,NA,26,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"864","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","55-64 years",31,448,47,17,NA,64,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"865","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","65-74 years",32,744,72,17,NA,89,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"866","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","75-84 years",67,1032,93,29,NA,132,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"867","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","85 years and over",90,1502,93,24,NA,161,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"868","07/22/2020","02/01/2020","07/11/2020","New Mexico","Female","All ages",249,4226,338,102,13,498,""
"869","07/22/2020","02/01/2020","07/11/2020","New Mexico","Unknown","All ages",0,0,0,0,0,0,""
"870","07/22/2020","02/01/2020","07/11/2020","New Mexico Total","All","All Ages",516,9077,719,218,29,1046,""
